row,contract_status,level,category,contract_code,contract_name,planning_code,planning_name,dev_rr,zerost_rr,opinion,client_feedback,extra_opinion,extracted_codes
753,1,1,[기획] D04-수업관리,,,CLS-12,대기열 관리 (만석 수업 자리 배분),Z,,,,,CLS-12
754,,2,[기획] D04-수업관리,,,CLS-12-01,수업 선택,Z,,,,,CLS-12-01
755,,2,[기획] D04-수업관리,,,CLS-12-02,대기자 목록,Z,,,,,CLS-12-02
756,,2,[기획] D04-수업관리,,,CLS-12-03,자동 배정,Z,,,,,CLS-12-03
757,,2,[기획] D04-수업관리,,,CLS-12-04,수동 배정,Z,,,,,CLS-12-04
758,,2,[기획] D04-수업관리,,,CLS-12-05,대기 취소,Z,,,,,CLS-12-05
759,,2,[기획] D04-수업관리,,,CLS-12-06,알림 발송,Z,,,,,CLS-12-06
760,,2,[기획] D04-수업관리,,,CLS-12-07,순번 조정,Z,,,,,CLS-12-07
761,2,1,[기획] D05-상품관리,,,PRD-04,할인 설정 (정률·정액 + 변경 이력),Z,,,,,PRD-04
762,,2,[기획] D05-상품관리,,,PRD-04-01,할인 목록,Z,,,,,PRD-04-01
763,,2,[기획] D05-상품관리,,,PRD-04-02,할인 추가,Z,,,,,PRD-04-02
764,,2,[기획] D05-상품관리,,,PRD-04-03,할인 수정,Z,,,,,PRD-04-03
765,,2,[기획] D05-상품관리,,,PRD-04-04,할인 삭제,Z,,,,,PRD-04-04
766,,2,[기획] D05-상품관리,,,PRD-04-05,변경 이력,Z,,,,,PRD-04-05
767,,2,[기획] D05-상품관리,,,PRD-04-06,활성/비활성,Z,,,,,PRD-04-06
768,,2,[기획] D05-상품관리,,,PRD-04-07,자동 적용,Z,,,,,PRD-04-07
769,,1,[기획] D05-상품관리,,,PRD-08,시즌 가격 관리 (기간 한정 특별가),Z,,,,,PRD-08
770,,2,[기획] D05-상품관리,,,PRD-08-01,시즌 특가 목록,Z,,,,,PRD-08-01
771,,2,[기획] D05-상품관리,,,PRD-08-02,달력 뷰,Z,,,,,PRD-08-02
772,,2,[기획] D05-상품관리,,,PRD-08-03,시즌 특가 등록,Z,,,,,PRD-08-03
773,,2,[기획] D05-상품관리,,,PRD-08-04,시즌 특가 수정,Z,,,,,PRD-08-04
774,,2,[기획] D05-상품관리,,,PRD-08-05,시즌 특가 삭제,Z,,,,,PRD-08-05
775,,2,[기획] D05-상품관리,,,PRD-08-06,자동 적용,Z,,,,,PRD-08-06
776,,2,[기획] D05-상품관리,,,PRD-08-07,중복 검증,Z,,,,,PRD-08-07
777,,2,[기획] D05-상품관리,,,PRD-08-08,카탈로그 / 키오스크 강조,Z,,,,,PRD-08-08
778,3,1,[기획] D06-시설관리,,,FAC-01,락커 관리 (구역 그리드 + 일괄 처리),"Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-01
779,,2,[기획] D06-시설관리,,,FAC-01-01,현황 요약 카드,Z,,,,,FAC-01-01
780,,2,[기획] D06-시설관리,,,FAC-01-02,구역 탭,Z,,,,,FAC-01-02
781,,2,[기획] D06-시설관리,,,FAC-01-03,그리드,Z,,,,,FAC-01-03
782,,2,[기획] D06-시설관리,,,FAC-01-04,검색,Z,,,,,FAC-01-04
783,,2,[기획] D06-시설관리,,,FAC-01-05,개별 배정,Z,,,,,FAC-01-05
784,,2,[기획] D06-시설관리,,,FAC-01-06,회수,Z,,,,,FAC-01-06
785,,2,[기획] D06-시설관리,,,FAC-01-07,이동,Z,,,,,FAC-01-07
786,,2,[기획] D06-시설관리,,,FAC-01-08,고장 처리,Z,,,,,FAC-01-08
787,,2,[기획] D06-시설관리,,,FAC-01-09,기록 조회,Z,,,,,FAC-01-09
788,,2,[기획] D06-시설관리,,,FAC-01-10,일괄 해제,Z,,,,,FAC-01-10
789,,2,[기획] D06-시설관리,,,FAC-01-11,일괄 배정,Z,,,,,FAC-01-11
790,,2,[기획] D06-시설관리,,,FAC-01-12,엑셀 다운로드,Z,,,,,FAC-01-12
791,,1,[기획] D06-시설관리,,,FAC-EXT-01,"옷 락커 / 고정 물품 락커 (분리 운영)
> 락커 관리 상세","Z: 관리 기능 개발
P: 락커 API 제공",,,,,FAC-EXT-01
792,,2,[기획] D06-시설관리,,,FAC-EXT-01-01,"락커 유형 탭
(일일 락커 / 고정용 유료 락커 / 골프 락커 / 골프 고정용 유료 락커)",Z,,,,,FAC-EXT-01-01
